fips,location,svi_rpl_themes,ep_pov150,ep_uninsur,ep_noveh,ep_age65,centroid_lat,centroid_lon
04013103217,Census Tract 1032.17; Maricopa County; Arizona,0.5642,13.7,3.6,3.9,19.0,33.634332,-111.95421
04013103219,Census Tract 1032.19; Maricopa County; Arizona,0.1473,5.7,2.9,1.1,29.9,33.632016,-111.936641
04013103220,Census Tract 1032.20; Maricopa County; Arizona,0.1224,6.6,3.2,2.8,17.1,33.61897,-111.936196
04013103302,Census Tract 1033.02; Maricopa County; Arizona,0.5975,24.6,15.4,4.9,8.7,33.618513,-112.004961
04013103303,Census Tract 1033.03; Maricopa County; Arizona,0.73,11.8,17.1,0.9,24.1,33.633826,-112.006002
04013103304,Census Tract 1033.04; Maricopa County; Arizona,0.9738,39.7,20.9,17.4,6.3,33.633831,-112.016919
04013103305,Census Tract 1033.05; Maricopa County; Arizona,0.9808,47.4,33.5,3.9,6.1,33.63652,-112.02552
04013103306,Census Tract 1033.06; Maricopa County; Arizona,0.9936,46.7,23.4,12.0,6.4,33.62974,-112.025792
04013103400,Census Tract 1034; Maricopa County; Arizona,0.4929,12.3,11.5,2.5,18.9,33.606085,-112.004765
04013103501,Census Tract 1035.01; Maricopa County; Arizona,0.445,14.5,9.5,0.0,28.2,33.620907,-112.022693
04013103502,Census Tract 1035.02; Maricopa County; Arizona,0.6265,16.9,12.1,4.2,18.7,33.607455,-112.02703
04013103604,Census Tract 1036.04; Maricopa County; Arizona,0.8062,22.5,22.4,6.0,18.3,33.634571,-112.084861
04013103605,Census Tract 1036.05; Maricopa County; Arizona,0.0895,5.5,1.1,1.4,26.4,33.618732,-112.086036
04013103606,Census Tract 1036.06; Maricopa County; Arizona,0.264,23.0,14.2,2.0,17.9,33.632928,-112.040884
04013103607,Census Tract 1036.07; Maricopa County; Arizona,0.2642,16.2,10.2,2.8,19.8,33.618297,-112.04296
04013103608,Census Tract 1036.08; Maricopa County; Arizona,0.7216,20.1,13.3,6.6,8.1,33.631628,-112.111012
04013103609,Census Tract 1036.09; Maricopa County; Arizona,0.8261,27.0,8.7,13.8,8.9,33.617988,-112.108352
04013103611,Census Tract 1036.11; Maricopa County; Arizona,0.1159,5.7,4.6,0.0,23.4,33.628456,-112.054964
